Product Url,Product Name,Brand,Product ID,Price,Rating,Number of Reviews,Parent Category,Sub Category,Sales Rank(in parent category),Sales Rank(in sub category),Release Date,Country of Origin,Purchased in Last Month
https://www.amazon.com/Gildan-Heavy-Blend-Crewneck-Sweatshirt/dp/B01M1OKRTK/ref=zg_bs_g_fashion_d_sccl_23/135-5538322-2157468?psc=1,"Gildan Unisex Adult Fleece Crewneck Sweatshirt, Style G18000, Multipack",Gildan,B01M1OKRTK,12.39,4.6,2864.0,"Clothing, Shoes & Jewelry",Men's Sweatshirts,22.0,3.0,2024-04-24,Honduras,3000.0
https://www.amazon.com/Arctix-Essential-Insulated-Overalls-Regular/dp/B004A6G3ME/ref=zg_bs_g_fashion_d_sccl_24/135-5538322-2157468?psc=1,Arctix Women's Essential Insulated Bib Overalls,Arctix,B004A6G3ME,49.99,4.5,52887.0,"Clothing, Shoes & Jewelry",Women's Clothing,24.0,1.0,2024-04-08,Bangladesh,9000.0
https://www.amazon.com/Carhartt-Waterproof-Insulated-Glove-Black/dp/B005I33OVG/ref=zg_bs_g_fashion_d_sccl_25/135-5538322-2157468?psc=1,Carhartt Men's Wp Waterproof Insulated Glove,Carhartt,B005I33OVG,26.99,4.6,32917.0,"Clothing, Shoes & Jewelry",Men's Cold Weather Gloves,25.0,3.0,2024-04-30,China,20000.0
https://www.amazon.com/Gildan-Fleece-Hooded-Sweatshirt-G18500/dp/B014RQ1L1O/ref=zg_bs_g_fashion_d_sccl_26/135-5538322-2157468?psc=1,"Gildan Unisex Adult Fleece Hoodie Sweatshirt, Style G18500, Multipack",Gildan,B014RQ1L1O,12.49,4.6,114738.0,"Clothing, Shoes & Jewelry",Men's Sweatshirts,26.0,4.0,2024-04-17,Honduras,3000.0
https://www.amazon.com/Art-Crep-Protect-Spray/dp/B013YRRFJ4/ref=zg_bs_g_fashion_d_sccl_27/135-5538322-2157468?psc=1,"Crep Protect Shoe Protector Spray - Rain & Stain Waterproof Nano Protection for Sneaker, Leather, Nubuck, Suede & Canvas",Crep Protect,B013YRRFJ4,16.0,4.4,31416.0,"Clothing, Shoes & Jewelry",Shoe Protective Treatments,27.0,1.0,2013-10-08,Unknown,9759.294871794871
https://www.amazon.com/SINOPHANT-High-Waisted-Leggings-Women/dp/B0BVFDH9CP/ref=zg_bs_g_fashion_d_sccl_28/135-5538322-2157468?psc=1,SINOPHANT High Waisted Leggings for Women - Full Length Capri Buttery Soft Yoga Pants for Workout Athletic,SINOPHANT,B0BVFDH9CP,9.99,4.3,7510.0,"Clothing, Shoes & Jewelry",Women's Yoga Leggings,28.0,2.0,2023-02-10,Unknown,9759.294871794871
https://www.amazon.com/Fruit-Loom-CoolZone-Boxer-Briefs/dp/B07PH2VWX1/ref=zg_bs_g_fashion_d_sccl_29/135-5538322-2157468?psc=1,"Fruit of the Loom Men's Coolzone Boxer Briefs, Moisture Wicking & Breathable, Assorted Color Multipacks",Fruit of the Loom,B07PH2VWX1,17.99,4.6,229920.0,"Clothing, Shoes & Jewelry",Men's Boxer Briefs,29.0,2.0,2022-10-24,El Salvador,3000.0
https://www.amazon.com/Sunzel-Leggings-Crossover-Control-High-Waisted/dp/B0BB7SP83Z/ref=zg_bs_g_fashion_d_sccl_30/135-5538322-2157468?psc=1,"Sunzel Flare Leggings, Crossover Yoga Pants with Tummy Control, High-Waisted and Wide Leg",Sunzel,B0BB7SP83Z,29.99,4.3,25067.0,"Clothing, Shoes & Jewelry",Women's Yoga Pants,30.0,1.0,2024-11-22,Unknown,6000.0
https://www.amazon.com/J-Ver-Shirts-Stretch-Wrinkle-Free-Regular/dp/B09JFR8HTV/ref=zg_bs_g_fashion_d_sccl_31/135-5538322-2157468?psc=1,J.VER Men's Dress Shirts Solid Long Sleeve Stretch Wrinkle-Free Formal Shirt Business Casual Button Down Shirts,J.VER,B09JFR8HTV,18.99,4.4,24532.0,"Clothing, Shoes & Jewelry",Men's Button-Down Shirts,31.0,1.0,2021-12-19,China,3000.0
https://www.amazon.com/adidas-Mens-Athletic-Black-Aluminum/dp/B008YA0Z44/ref=zg_bs_g_fashion_d_sccl_32/135-5538322-2157468?psc=1,adidas Men's Athletic Cushioned Crew Socks with arch compression for a secure fit (6-Pair),adidas,B008YA0Z44,16.49,4.6,43115.0,"Clothing, Shoes & Jewelry",Men's Athletic Socks,35.0,1.0,2010-06-07,Unknown,9759.294871794871
